,ID,bikes,bike_stands,last_update
0,42,30,0,1708651228000
1,30,10,10,1708651570000
2,54,1,32,1708651275000
3,108,27,8,1708651231000
4,20,0,30,1708651385000
5,56,1,39,1708651429000
6,6,5,15,1708651259000
7,18,10,20,1708651303000
8,32,14,16,1708651303000
9,52,0,32,1708651767000
10,48,22,18,1708651807000
11,13,0,30,1708651246000
12,43,29,1,1708651270000
13,31,7,13,1708651221000
14,98,0,40,1708651236000
15,14,17,13,1708651394000
16,1,1,30,1708651416000
17,23,27,3,1708651272000
18,106,9,31,1708651749000
19,112,30,0,1708651250000
20,68,2,38,1708651505000
21,74,8,22,1708651316000
22,87,14,24,1708651230000
23,84,15,15,1708651294000
24,90,1,39,1708651500000
25,11,0,30,1708651705000
26,17,0,20,1708651299000
27,45,26,4,1708651344000
28,114,0,40,1708651399000
29,72,4,27,1708651465000
30,63,0,35,1708651262000
31,113,0,40,1708651815000
32,91,20,10,1708651253000
33,99,5,25,1708651301000
34,9,0,24,1708651399000
35,67,21,19,1708651245000
36,116,7,23,1708651554000
37,55,0,36,1708651380000
38,62,16,24,1708651246000
39,5,40,0,1708651624000
40,97,36,4,1708651781000
41,61,0,25,1708651512000
42,77,9,20,1708651799000
43,73,23,7,1708651283000
44,4,11,9,1708651282000
45,49,31,9,1708651467000
46,19,0,30,1708651415000
47,7,2,27,1708651790000
48,60,29,1,1708651406000
49,102,10,30,1708651768000
50,38,27,13,1708651344000
51,53,0,40,1708651265000
52,58,1,39,1708651430000
53,66,5,35,1708651224000
54,104,4,36,1708651811000
55,101,11,19,1708651694000
56,115,30,0,1708651356000
57,47,1,39,1708651223000
58,117,25,15,1708651245000
59,8,20,10,1708651387000
60,27,0,20,1708651294000
61,16,16,4,1708651766000
62,96,15,15,1708651728000
63,82,16,6,1708651753000
64,76,3,35,1708651695000
65,71,6,34,1708651686000
66,79,0,27,1708651546000
67,69,1,39,1708651525000
68,25,3,27,1708651328000
69,51,0,40,1708651741000
70,37,0,30,1708651743000
71,59,9,11,1708651262000
72,95,17,23,1708651416000
73,94,34,6,1708651467000
74,105,7,29,1708651317000
75,36,0,40,1708651760000
76,93,40,0,1708651240000
77,22,15,5,1708651293000
78,50,40,0,1708651454000
79,110,12,28,1708651358000
80,12,6,14,1708651736000
81,34,23,7,1708651413000
82,78,18,22,1708651235000
83,2,13,7,1708651753000
84,75,6,33,1708651386000
85,111,11,29,1708651740000
86,26,8,12,1708651328000
87,65,1,39,1708651457000
88,15,3,13,1708651564000
89,86,38,0,1708651743000
90,35,27,3,1708651271000
91,10,10,6,1708651442000
92,100,25,0,1708651457000
93,24,17,3,1708651371000
94,64,36,4,1708651481000
95,109,19,10,1708651577000
96,85,17,18,1708651376000
97,107,16,24,1708651753000
98,33,17,6,1708651410000
99,44,27,3,1708651327000
100,89,0,40,1708651291000
101,57,6,17,1708651215000
102,80,9,31,1708651356000
103,41,15,5,1708651697000
104,3,9,11,1708651272000
105,40,5,16,1708651403000
106,29,12,17,1708651383000
107,103,0,40,1708651394000
108,28,10,20,1708651268000
109,39,1,19,1708651388000
110,83,27,13,1708651232000
111,92,39,1,1708651807000
112,21,3,27,1708651238000
113,88,21,9,1708651229000
