,ID,contract,name,address,banking,bonus,stands,position_lat,position_lng,status
0,42,dublin,SMITHFIELD NORTH,Smithfield North,0,0,30,53.349562,-6.278198,OPEN
1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,0,0,20,53.3537415547453,-6.26530144781526,OPEN
2,54,dublin,CLONMEL STREET,Clonmel Street,0,0,33,53.336021,-6.26298,OPEN
3,108,dublin,AVONDALE ROAD,Avondale Road,0,0,35,53.359405,-6.276142,OPEN
4,20,dublin,JAMES STREET EAST,James Street East,0,0,30,53.336597,-6.248109,OPEN
5,56,dublin,MOUNT STREET LOWER,Mount Street Lower,0,0,40,53.33796,-6.24153,OPEN
6,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,0,0,20,53.343368,-6.27012,OPEN
7,18,dublin,GRANTHAM STREET,Grantham Street,0,0,30,53.334123,-6.265436,OPEN
8,32,dublin,PEARSE STREET,Pearse Street,0,0,30,53.344304,-6.250427,OPEN
9,52,dublin,YORK STREET EAST,York Street East,0,0,32,53.338755,-6.262003,OPEN
10,48,dublin,EXCISE WALK,Excise Walk,0,0,40,53.347777,-6.244239,OPEN
11,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,0,0,30,53.336074,-6.252825,OPEN
12,43,dublin,PORTOBELLO ROAD,Portobello Road,0,0,30,53.330091,-6.268044,OPEN
13,31,dublin,PARNELL STREET,Parnell Street,0,0,20,53.350929,-6.265125,OPEN
14,98,dublin,FREDERICK STREET SOUTH,Frederick Street South,0,0,40,53.341515,-6.256853,OPEN
15,14,dublin,FOWNES STREET UPPER,Fownes Street Upper,0,0,30,53.344603,-6.263371,OPEN
16,1,dublin,CLARENDON ROW,Clarendon Row,0,0,31,53.340927,-6.262501,OPEN
17,23,dublin,CUSTOM HOUSE,Custom House,0,0,30,53.348279,-6.254662,OPEN
18,106,dublin,RATHDOWN ROAD,Rathdown Road,0,0,40,53.35893,-6.280337,OPEN
19,112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),0,0,30,53.357841,-6.251557,OPEN
20,68,dublin,HANOVER QUAY,Hanover Quay,0,0,40,53.344115,-6.237153,OPEN
21,74,dublin,OLIVER BOND STREET,Oliver Bond Street,0,0,30,53.343893,-6.280531,OPEN
22,87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,0,0,38,53.347477,-6.28525,OPEN
23,84,dublin,BROOKFIELD ROAD,Brookfield Road,0,0,30,53.339005,-6.300217,OPEN
24,90,dublin,BENSON STREET,Benson Street,0,0,40,53.344153,-6.233451,OPEN
