,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position.lat,position.lng
0,42,dublin,SMITHFIELD NORTH,Smithfield North,0,0,30,10,20,OPEN,1709177802000,53.349562,-6.278198
1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,0,0,20,17,3,OPEN,1709177972000,53.3537415547453,-6.26530144781526
2,54,dublin,CLONMEL STREET,Clonmel Street,0,0,33,31,2,OPEN,1709177991000,53.336021,-6.26298
3,108,dublin,AVONDALE ROAD,Avondale Road,0,0,35,16,19,OPEN,1709177856000,53.359405,-6.276142
4,20,dublin,JAMES STREET EAST,James Street East,0,0,30,30,0,OPEN,1709177976000,53.336597,-6.248109
5,56,dublin,MOUNT STREET LOWER,Mount Street Lower,0,0,40,33,7,OPEN,1709177814000,53.33796,-6.24153
6,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,0,0,20,19,1,OPEN,1709177766000,53.343368,-6.27012
7,18,dublin,GRANTHAM STREET,Grantham Street,0,0,30,16,14,OPEN,1709177853000,53.334123,-6.265436
8,32,dublin,PEARSE STREET,Pearse Street,0,0,30,23,7,OPEN,1709177796000,53.344304,-6.250427
9,52,dublin,YORK STREET EAST,York Street East,0,0,32,32,0,OPEN,1709177932000,53.338755,-6.262003
10,48,dublin,EXCISE WALK,Excise Walk,0,0,40,23,17,OPEN,1709177853000,53.347777,-6.244239
11,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,0,0,30,26,4,OPEN,1709177859000,53.336074,-6.252825
12,43,dublin,PORTOBELLO ROAD,Portobello Road,0,0,30,0,30,OPEN,1709177855000,53.330091,-6.268044
13,31,dublin,PARNELL STREET,Parnell Street,0,0,20,10,10,OPEN,1709177737000,53.350929,-6.265125
14,98,dublin,FREDERICK STREET SOUTH,Frederick Street South,0,0,40,38,2,OPEN,1709177912000,53.341515,-6.256853
15,14,dublin,FOWNES STREET UPPER,Fownes Street Upper,0,0,30,12,18,OPEN,1709177974000,53.344603,-6.263371
16,1,dublin,CLARENDON ROW,Clarendon Row,0,0,31,24,7,OPEN,1709177734000,53.340927,-6.262501
17,23,dublin,CUSTOM HOUSE,Custom House,0,0,30,11,19,OPEN,1709177859000,53.348279,-6.254662
