name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
dublin,2024-02-01T00:00:00,3.6,-0.5,1.1,83.93,0.001,100,rain,0,0,28.4,18.3,254,1029.6,39.8,15.2,0,0,0,,"Rain, Partially cloudy",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T01:00:00,3.6,-0.8,0.8,82.3,0,0,,0,0,28.8,20.2,254,1030.2,71.7,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T02:00:00,3.2,-1.3,0.8,83.88,0,0,,0,0,28.8,21.3,254,1030.4,81.3,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T03:00:00,2.9,-0.8,0.3,82.76,0,0,,0,0,28.4,15,247,1030.6,67.5,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T04:00:00,3.1,-0.8,0.4,82.55,0,0,,0,0,28.4,15.7,247,1031.5,45,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T05:00:00,3.1,-0.2,0.6,83.57,0,0,,0,0,27.7,13,247,1032.2,65.2,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T06:00:00,3.1,-0.8,0.4,82.08,0,0,,0,0,25.9,16.8,244,1032.5,57.2,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T07:00:00,3.8,0.2,0.8,81.12,0,0,,0,0,26.6,15.6,244,1032.5,85.1,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T08:00:00,3.5,0.2,0.1,78.31,0,0,,0,0,24.8,13.2,237,1033.3,67.8,17.8,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T09:00:00,3,-0.2,0.8,85.51,0,0,,0,0,20.2,12.1,220,1034.3,87.7,17.8,32,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T10:00:00,4.6,1.7,1.7,81.22,0,0,,0,0,15.5,12.7,200,1033.7,89,17.8,88,0.3,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T11:00:00,6.8,3.8,2.8,75.97,0,0,,0,0,11.9,16.1,213,1034,83.6,17.8,232,0.8,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T12:00:00,7.1,4.2,2.8,73.88,0,0,,0,0,17.3,16.4,227,1033.5,82.7,17.8,113,0.4,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T13:00:00,7.1,4.1,2.7,73.29,0,0,,0,0,20.9,17.1,230,1033,55.9,17.8,137,0.5,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T14:00:00,7.7,4.1,2.4,69.48,0,0,,0,0,25.2,23.4,220,1032,90,19.7,128,0.5,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T15:00:00,7.8,4.2,3.1,72.44,0,0,,0,0,38.9,24.2,234,1031.2,89.2,19.8,120,0.4,1,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T16:00:00,7.8,4.4,3.5,73.82,0,0,,0,0,25.2,22.8,230,1030.5,90.1,19.7,46,0.2,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T17:00:00,7.8,4.5,3.9,76.76,0,0,,0,0,22.7,21,237,1030.2,75.4,17.8,0,0,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T18:00:00,7.9,5,4.9,81.36,0,0,,0,0,32.4,18.4,237,1029.5,89.1,15.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T19:00:00,8.3,5.1,6.1,86.45,0,0,,0,0,41.8,21.3,234,1029.2,89.1,15.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T20:00:00,8.9,5.6,7.2,88.62,0,0,,0,0,52.6,25.2,237,1028.6,89.1,14.6,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T21:00:00,9.1,5.7,7.4,89.09,0,0,,0,0,44.6,25.3,237,1028.3,77.4,15.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T22:00:00,9.1,5.9,7.8,91.25,0,0,,0,0,65.2,24,234,1027.8,34.3,17.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-01T23:00:00,9.8,6.8,8,88.72,0,0,,0,0,38.9,23.1,237,1027.6,90.4,19.1,0,0,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T00:00:00,9.8,7.1,8,88.09,0.001,100,rain,0,0,37.1,20.7,237,1027.3,90.4,19.2,0,0,0,,"Rain, Overcast",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T01:00:00,9.8,6.9,7.9,88.24,0,0,,0,0,37.1,22.2,240,1027.4,94.3,15.4,0,0,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T02:00:00,9.8,7,8.1,89.11,0,0,,0,0,54,21.8,230,1026.9,94.3,15.2,0,0,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T03:00:00,9.9,6.8,8.3,89.9,0,0,,0,0,38.9,25.5,237,1026.5,94.3,15.2,0,0,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T04:00:00,9.9,6.9,8.7,92.29,0,0,,0,0,37.1,24.1,240,1026,94.3,15.2,0,0,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T05:00:00,10.3,10.3,8.4,87.53,0,0,,0,0,49,22.3,237,1025.5,90.4,15.2,0,0,0,,Overcast,cloudy,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-02-02T06:00:00,10.6,10.6,8.4,86.24,0,0,,0,0,56.2,25.8,247,1025.3,85.2,17.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
