time_stamp,temp_c,feelslike_c,wind_kph,humidity,precip_mm,gust_kph,wind_degree,pressure_mb,cloud,uv
2024-01-01 00:00:00,5.8,1.1,30.1,84.33,0.078,50.0,257,994.4,64.9,0
2024-01-01 01:00:00,5.0,0.1,29.9,86.73,0.0,68.8,257,994.8,25.0,0
2024-01-01 02:00:00,4.8,-0.1,28.5,83.05,0.0,48.2,257,995.5,17.2,0
2024-01-01 03:00:00,4.5,0.0,24.0,83.87,0.0,42.5,254,996.4,17.3,0
2024-01-01 04:00:00,4.7,0.5,22.3,82.67,0.0,61.6,240,997.2,17.2,0
2024-01-01 05:00:00,4.0,-0.1,19.6,84.11,0.0,56.5,237,997.6,17.2,0
2024-01-01 06:00:00,3.9,-0.4,20.4,83.16,0.0,35.3,234,997.6,19.7,0
2024-01-01 07:00:00,4.0,0.2,17.7,85.15,0.0,45.0,237,998.3,25.0,0
2024-01-01 08:00:00,3.8,0.2,16.0,84.53,0.0,36.4,237,998.4,17.2,0
2024-01-01 09:00:00,3.8,0.6,13.0,81.82,0.0,24.5,216,998.5,24.9,0
2024-01-01 10:00:00,4.0,1.1,11.4,83.29,0.0,13.0,205,998.5,85.1,0
2024-01-01 11:00:00,5.1,2.7,10.0,82.36,0.0,10.1,163,998.1,84.6,0
2024-01-01 12:00:00,5.9,3.5,11.3,77.89,0.001,15.1,142,996.8,86.4,0
2024-01-01 13:00:00,5.9,3.0,14.0,87.65,0.0,20.9,130,995.1,94.3,0
2024-01-01 14:00:00,6.1,2.6,19.3,90.1,0.0,27.4,116,992.8,94.3,0
2024-01-01 15:00:00,7.1,3.6,21.9,92.81,0.0,42.5,131,990.0,94.3,0
2024-01-01 16:00:00,7.9,4.2,26.5,94.76,0.0,44.6,137,987.9,96.1,0
2024-01-01 17:00:00,8.5,5.5,20.5,95.63,0.0,34.9,129,985.0,96.1,0
2024-01-01 18:00:00,8.9,5.6,23.3,95.98,5.312,34.2,124,982.8,96.1,0
2024-01-01 19:00:00,9.6,6.3,27.0,95.58,0.0,36.7,157,980.4,94.2,0
2024-01-01 20:00:00,10.4,10.4,21.2,91.19,0.0,56.5,240,980.1,94.2,0
2024-01-01 21:00:00,10.3,10.3,26.5,86.2,0.0,40.7,240,980.4,85.1,0
2024-01-01 22:00:00,10.1,10.1,27.8,86.15,0.0,46.4,237,980.7,86.4,0
